 42,     357.00,     108.00,       1.00,       0.00,    3887.03,    3887.03,     357.00,     108.00,       0.00,       0.00,     357.00,     357.00,     185.00,     357.00,    1624.61,      50.66,      76.73,       0.00
 43,     368.00,      14.00,       1.00,       0.00,    3386.85,    3386.85,     368.00,      14.00,       0.00,       0.00,     368.00,     368.00,     185.00,     368.00,    2173.57,      71.63,      47.28,       0.00
 44,     370.00,      31.00,       1.00,       0.00,    3737.20,    3737.20,     370.00,      31.00,       0.00,       0.00,     370.00,     370.00,     185.00,     370.00,    2188.76,       3.80,     982.18,       0.00
 46,     384.00,     157.00,       2.00,       0.00,    5677.06,    9651.69,     384.00,     157.44,       0.00,       0.50,     384.00,     384.00,     185.00,     384.00,    2134.27,      15.00,     454.83,       0.00
 47,       3.00,      26.00,       2.00,       0.00,    5898.88,    9562.56,       3.00,      26.42,       0.00,       0.49,       3.00,       3.00,       3.00,       3.00,    1983.99,       0.00,       0.00,       0.00
 49,       9.00,      80.00,       2.00,       0.00,    3650.86,    7124.45,       9.00,      80.49,       0.00,       0.50,       9.00,       9.00,       9.00,       9.00,    1891.61,      84.72,      59.46,       0.00
 50,      43.00,       0.00,       1.00,       0.00,   12569.95,   12569.95,      43.00,       0.00,       0.00,       0.00,      43.00,      43.00,      43.00,      43.00,    1583.35,       0.00,       0.00,       0.00
 51,      45.00,      17.00,       2.00,       0.00,    6588.89,   18058.26,      45.00,      17.61,       0.00,       0.49,      45.00,      45.00,      45.00,      45.00,    1879.53,     158.78,      80.42,       0.00
  1,      51.00,       3.00,       2.00,       0.00,    8756.53,   11566.37,      51.00,       2.73,       0.00,       0.44,      51.00,      51.00,      51.00,      51.00,     691.43,       0.00,       0.00,       0.00
  2,      53.00,      20.00,       2.00,       0.00,    8602.19,   21927.47,      53.00,      20.60,       0.00,       0.49,      53.00,      53.00,      53.00,      53.00,     972.72,      17.93,     864.85,       0.00
  3,      55.00,      38.00,       2.00,       0.00,    8449.06,   16758.58,      55.00,      38.50,       0.00,       0.50,      55.00,      55.00,      55.00,      55.00,    1098.96,     134.03,      88.41,       0.00
  4,      57.00,      56.00,       1.00,       0.00,    4357.98,    4357.98,      57.00,      56.00,       0.00,       0.00,      57.00,      57.00,      57.00,      57.00,     925.19,       1.01,    4302.06,       0.00
  8,     233.00,     156.00,       2.00,       0.00,    2549.43,    4915.59,     233.00,     156.49,       0.00,       0.50,     233.00,     233.00,     185.00,     233.00,    1157.39,      29.91,     116.23,       0.00
 11,     376.00,      85.00,       1.00,       0.00,    2188.79,    2188.79,     376.00,      85.00,       0.00,       0.00,     376.00,     376.00,     185.00,     376.00,    1560.94,      12.45,     175.81,       0.00
 12,     384.00,     157.00,       2.00,       0.00,    3353.05,    7193.91,     384.00,     157.53,       0.00,       0.50,     384.00,     384.00,     185.00,     384.00,     970.89,      17.54,     290.02,       0.00
 13,       3.00,      26.00,       2.00,       0.00,    2814.72,    5945.94,       3.00,      26.52,       0.00,       0.50,       3.00,       3.00,       3.00,       3.00,    1142.88,       0.00,       0.00,       0.00
 15,      47.00,      34.00,       2.00,       0.00,    2583.24,    4903.28,      47.00,      34.48,       0.00,       0.50,      47.00,      47.00,      47.00,      47.00,    1144.63,      19.55,     177.35,       0.00
 16,      61.00,      51.00,       1.00,       0.00,   13384.72,   13384.72,      61.00,      51.00,       0.00,       0.00,      61.00,      61.00,      61.00,      61.00,    1335.68,     163.21,      82.01,       0.00
 17,      63.00,      69.00,       1.00,       0.00,   13688.93,   13688.93,      63.00,      69.00,       0.00,       0.00,      63.00,      63.00,      63.00,      63.00,    1010.07,       9.79,    1397.54,       0.00
 18,      65.00,      86.00,       2.00,       0.00,    3628.34,   17493.56,      65.00,      86.77,       0.00,       0.42,      65.00,      65.00,      65.00,      65.00,     804.89,      67.81,     182.43,       0.00
 19,      67.00,     105.00,       1.00,       0.00,    9183.53,    9183.53,      67.00,     105.00,       0.00,       0.00,      67.00,      67.00,      67.00,      67.00,     937.37,      19.70,     466.12,       0.00
 20,      75.00,      95.00,       1.00,       0.00,    3050.45,    3050.45,      75.00,      95.00,       0.00,       0.00,      75.00,      75.00,      75.00,      75.00,    1031.39,      70.65,      43.17,       0.00
 21,      78.00,     120.00,       2.00,       0.00,    2332.16,    4338.03,      78.00,     119.52,       0.00,       0.50,      78.00,      78.00,      78.00,      78.00,    1370.43,      26.54,     115.56,       0.00
